model_name,ssb,rec_actual
steepness-0.5,53155.7,6373.51
steepness-0.5,53643.4,6387.11
steepness-0.5,54131,6400.52
steepness-0.5,54618.7,6413.74
steepness-0.5,55106.4,6426.79
steepness-0.5,55594,6439.65
steepness-0.5,56081.7,6452.35
steepness-0.5,56569.4,6464.87
steepness-0.5,57057,6477.23
steepness-0.5,57544.7,6489.42
steepness-0.5,58032.4,6501.46
steepness-0.5,58520,6513.33
steepness-0.6,481.235,352.047
steepness-0.6,962.469,672.021
steepness-0.6,1443.7,964.171
steepness-0.6,1924.94,1231.98
steepness-0.6,2406.17,1478.36
steepness-0.6,2887.41,1705.78
steepness-0.6,3368.64,1916.37
steepness-0.6,3849.88,2111.91
steepness-0.6,4331.11,2293.96
steepness-0.6,4812.35,2463.88
steepness-0.6,5293.58,2622.83
steepness-0.6,5774.81,2771.86
steepness-0.6,6256.05,2911.84
steepness-0.6,6737.28,3043.6
steepness-0.6,7218.52,3167.83
steepness-0.6,7699.75,3285.15
steepness-0.6,8180.99,3396.13
steepness-0.6,8662.22,3501.27
steepness-0.6,9143.46,3601.02
steepness-0.6,9624.69,3695.79
steepness-0.6,10105.9,3785.93
steepness-0.6,10587.2,3871.77
steepness-0.6,11068.4,3953.63
steepness-0.6,11549.6,4031.76
steepness-0.6,12030.9,4106.42
steepness-0.6,12512.1,4177.84
steepness-0.6,12993.3,4246.21
steepness-0.6,13474.6,4311.74
steepness-0.6,13955.8,4374.59
steepness-0.6,14437,4434.93
steepness-0.6,14918.3,4492.91
steepness-0.6,15399.5,4548.65
steepness-0.6,15880.7,4602.29
steepness-0.6,16362,4653.94
steepness-0.6,16843.2,4703.71
steepness-0.6,17324.4,4751.71
steepness-0.6,17805.7,4798.02
steepness-0.6,18286.9,4842.74
steepness-0.6,18768.1,4885.94
steepness-0.6,19249.4,4927.7
steepness-0.6,19730.6,4968.09
steepness-0.6,20211.9,5007.18
steepness-0.6,20693.1,5045.02
steepness-0.6,21174.3,5081.69
steepness-0.6,21655.6,5117.22
steepness-0.6,22136.8,5151.68
steepness-0.6,22618,5185.11
steepness-0.6,23099.3,5217.56
steepness-0.6,23580.5,5249.07
